,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
"breast cancer 1, early onset",0,0,1,0,1,-1,-1,-1
mitochondrial fission process 1,0,-1,1,0,1,-1,-1,-1
GINS complex subunit 2 (Psf2 homolog),0,0,1,0,1,-1,-1,-1
four and a half LIM domains 2,1,0,-1,-1,1,-1,-1,-1
phosphogluconate dehydrogenase,0,0,1,-1,1,-1,-1,-1
"replication factor C (activator 1) 5, 36.5kDa",0,0,1,0,0,-1,-1,-1
SH2 domain containing 5,1,1,1,1,1,-1,-1,-1
kinetochore associated 1,0,0,0,-1,1,-1,-1,-1
growth differentiation factor 15,-1,-1,1,-1,0,-1,-1,-1
thyroid hormone receptor interactor 13,1,0,1,-1,1,-1,-1,-1
"primase, DNA, polypeptide 1 (49kDa)",-1,1,0,1,0,-1,-1,-1
"DnaJ (Hsp40) homolog, subfamily C, member 9",0,0,0,0,0,-1,-1,-1
SET and MYND domain containing 3,0,0,0,1,1,-1,-1,-1
denticleless E3 ubiquitin protein ligase homolog (Drosophila),0,1,1,-1,1,-1,-1,-1
"chromatin assembly factor 1, subunit B (p60)",1,0,1,1,1,-1,-1,-1
purine nucleoside phosphorylase,0,-1,-1,0,0,-1,-1,-1
"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",-1,0,0,-1,1,-1,-1,-1
transmembrane protein 116,0,0,1,0,1,-1,-1,-1
"histone cluster 1, H1b",1,-1,0,0,1,-1,-1,-1
ubiquitin-conjugating enzyme E2C,0,0,1,-1,1,-1,-1,-1
E2F transcription factor 1,0,0,1,0,1,-1,-1,-1
microtubule-associated protein 1 light chain 3 beta,0,0,0,1,1,-1,-1,-1
quiescin Q6 sulfhydryl oxidase 2,0,0,0,0,-1,-1,-1,-1
"polymerase (DNA directed), delta 1, catalytic subunit",0,0,1,0,1,-1,-1,-1
pituitary tumor-transforming 2,1,-1,0,-1,1,-1,-1,-1
synaptotagmin-like 1,0,1,0,1,0,-1,-1,-1
ubiquitin specific peptidase 1,0,-1,-1,0,0,-1,-1,-1
musculin,0,0,0,0,0,-1,-1,-1
RecQ protein-like 4,0,1,1,1,1,-1,-1,-1
"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4",0,0,0,0,1,-1,-1,-1
non-SMC element 4 homolog A (S. cerevisiae),0,-1,-1,0,0,-1,-1,-1
baculoviral IAP repeat containing 5,1,1,1,-1,1,-1,-1,-1
"polymerase (DNA directed), epsilon 3, accessory subunit",0,0,0,0,0,-1,-1,-1
SH3 and PX domains 2A,0,-1,-1,-1,-1,-1,-1,-1
polypeptide N-acetylgalactosaminyltransferase 12,0,1,0,1,0,-1,-1,-1
DEAD (Asp-Glu-Ala-Asp) box helicase 21,0,-1,0,-1,1,-1,-1,-1
minichromosome maintenance complex component 6,0,-1,-1,-1,0,-1,-1,-1
cyclin D1,0,0,0,-1,0,-1,-1,-1
ankyrin repeat and SOCS box containing 1,0,0,0,0,1,-1,-1,-1
lnc-SERPINC1-1:9,0,-1,-1,-1,0,-1,-1,-1
"histone cluster 1, H4a",0,0,1,1,0,-1,-1,-1
kelch domain containing 4,0,0,1,1,0,-1,-1,-1
"replication factor C (activator 1) 2, 40kDa",1,0,0,0,0,-1,-1,-1
chromatin licensing and DNA replication factor 1,0,1,1,0,1,-1,-1,-1
"histone cluster 1, H3b",0,0,1,-1,1,-1,-1,-1
"CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)",0,0,1,1,1,-1,-1,-1
molybdenum cofactor sulfurase,0,0,1,0,1,-1,-1,-1
"SPC25, NDC80 kinetochore complex component",0,0,1,0,1,-1,-1,-1
RecQ mediated genome instability 1,0,0,-1,-1,-1,-1,-1,-1
WD repeat and HMG-box DNA binding protein 1,0,0,1,-1,1,-1,-1,-1
secretogranin V (7B2 protein),0,1,1,1,1,-1,-1,-1
"origin recognition complex, subunit 6",0,0,1,0,1,-1,-1,-1
