,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
MT-RNR2-like 2,-1,1,0,1,0,1,1,0
paraneoplastic Ma antigen 1,-1,0,1,0,-1,1,1,0
"collagen, type I, alpha 2",-1,0,0,0,1,1,1,0
doublecortin-like kinase 1,0,1,1,1,-1,1,1,0
valosin containing protein,0,1,0,0,0,1,1,0
lymphocyte antigen 96,0,1,-1,-1,-1,1,1,0
vascular endothelial growth factor B,0,1,1,0,1,1,1,0
ribosomal protein L35,1,-1,-1,0,-1,1,1,0
biliverdin reductase A,1,0,0,1,1,1,1,0
glypican 6,1,-1,-1,-1,1,1,1,0
amyloid beta (A4) precursor protein,-1,1,1,1,0,1,1,0
"BTG family, member 3",0,0,-1,-1,-1,1,1,0
"TSC22 domain family, member 1",-1,1,0,1,0,1,1,0
"trafficking protein, kinesin binding 1",-1,0,0,0,0,1,1,0
MT-RNR2-like 2,-1,1,0,1,0,1,1,0
reactive oxygen species modulator 1,0,-1,0,-1,0,1,1,0
ATPase inhibitory factor 1,0,1,0,1,1,1,1,0
ribosomal protein S27,1,-1,-1,-1,-1,1,1,0
"adaptor-related protein complex 2, sigma 1 subunit",0,1,1,1,0,1,1,0
N-acylsphingosine amidohydrolase (acid ceramidase) 1,-1,1,0,1,0,1,1,0
glycoprotein (transmembrane) nmb,-1,1,1,1,-1,1,1,0
