,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
F-box protein 42,0,0,0,0,0,0,-1,0
"neugrin, neurite outgrowth associated",0,1,0,0,1,0,-1,0
"small nucleolar RNA, H/ACA box 78",1,-1,0,1,1,0,-1,0
lnc-OST4-2:3,0,0,0,0,0,0,-1,0
kielin/chordin-like protein,0,0,0,1,0,0,-1,0
small ubiquitin-like modifier 3,0,1,0,1,0,0,-1,0
"cytochrome P450, family 2, subfamily R, polypeptide 1",0,0,-1,0,0,0,-1,0
ERO1-like (S. cerevisiae),0,0,0,0,0,0,-1,0
chromosome 9 open reading frame 85,0,1,0,0,0,0,-1,0
retinoblastoma binding protein 4,0,0,0,-1,0,0,-1,0
long intergenic non-protein coding RNA 674,0,1,0,0,1,0,-1,0
long intergenic non-protein coding RNA 1535,0,0,-1,0,0,0,-1,0
ER membrane protein complex subunit 8,0,0,1,-1,0,0,-1,0
"GTF2H2 family member C, copy 2",0,0,0,0,0,0,-1,0
"histone cluster 2, H2ab",0,0,0,0,1,0,-1,0
nicolin 1,0,0,1,0,-1,0,-1,0
"solute carrier family 2 (facilitated glucose transporter), member 14",1,0,-1,1,-1,0,-1,0
uncharacterized LOC101928669,-1,0,0,0,0,0,-1,0
dihydrouridine synthase 3-like (S. cerevisiae),0,-1,-1,-1,-1,0,-1,0
"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",0,0,0,0,0,0,-1,0
uncharacterized LOC100128124,0,0,0,0,0,0,-1,0
"replication protein A3, 14kDa",0,0,1,0,0,0,-1,0
lnc-TRA2A-1:1,0,1,1,0,0,0,-1,0
"zinc finger, AN1-type domain 1",0,0,0,1,0,0,-1,0
"family with sequence similarity 199, X-linked",0,0,0,0,0,0,-1,0
integrator complex subunit 9,0,1,1,-1,0,0,-1,0
thyroid hormone receptor interactor 11,0,0,0,0,-1,0,-1,0
gamma-glutamyltransferase light chain 1,0,0,0,0,0,0,-1,0
"family with sequence similarity 192, member A",0,0,1,0,0,0,-1,0
long intergenic non-protein coding RNA 998,0,0,1,0,1,0,-1,0
guanine nucleotide binding protein-like 2 (nucleolar),0,0,0,-1,1,0,-1,0
PET117 homolog (S. cerevisiae),0,-1,0,0,-1,0,-1,0
vacuolar protein sorting 37 homolog B (S. cerevisiae),0,-1,0,-1,-1,0,-1,0
ceramide synthase 2,0,-1,0,-1,-1,0,-1,0
"non-SMC condensin I complex, subunit D2",0,0,1,-1,0,0,-1,0
acetyl-CoA acetyltransferase 1,0,-1,-1,0,-1,0,-1,0
tRNA methyltransferase 10 homolog C (S. cerevisiae),0,0,1,1,0,0,-1,0
"golgi-associated, gamma adaptin ear containing, ARF binding protein 2",0,0,0,1,0,0,-1,0
vasodilator-stimulated phosphoprotein,0,0,1,0,1,0,-1,0
gamma-glutamylcyclotransferase,0,-1,1,0,0,0,-1,0
"family with sequence similarity 195, member A",0,0,1,1,0,0,-1,0
dual specificity phosphatase 28,0,0,0,0,-1,0,-1,0
kelch-like family member 29,-1,1,1,0,0,0,-1,0
mesoderm development candidate 1,0,0,1,1,-1,0,-1,0
mitochondrial ribosomal protein L12,0,0,0,-1,0,0,-1,0
"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)",0,0,-1,0,0,0,-1,0
KIAA0586,0,0,-1,0,0,0,-1,0
mitochondrial ribosomal protein L38,0,0,0,0,0,0,-1,0
"non-POU domain containing, octamer-binding",0,0,-1,-1,-1,0,-1,0
HD domain containing 2,0,1,1,1,1,0,-1,0
NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),0,0,1,-1,0,0,-1,0
mitogen-activated protein kinase kinase 4,0,1,0,1,0,0,-1,0
leucine carboxyl methyltransferase 1,0,1,1,0,1,0,-1,0
cyclin and CBS domain divalent metal cation transport mediator 4,0,-1,0,1,-1,0,-1,0
tripartite motif containing 25,0,1,0,-1,0,0,-1,0
DEAD (Asp-Glu-Ala-Asp) box polypeptide 28,0,1,1,0,0,0,-1,0
polyamine-modulated factor 1,0,0,-1,-1,0,0,-1,0
RAD51 paralog C,0,-1,0,0,0,0,-1,0
KIAA1143,0,0,0,0,0,0,-1,0
"heat shock protein 70kDa family, member 13",0,1,1,0,0,0,-1,0
dihydropyrimidinase-like 3,1,0,1,-1,0,0,-1,0
"Sfi1 homolog, spindle assembly associated (yeast)",0,-1,-1,1,-1,0,-1,0
"transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)",0,0,-1,0,0,0,-1,0
Fas apoptotic inhibitory molecule,0,0,1,0,0,0,-1,0
lnc-FKBP2-1:1,1,-1,1,-1,1,0,-1,0
long intergenic non-protein coding RNA 152,1,-1,0,-1,1,0,-1,0
vacuolar protein sorting 72 homolog (S. cerevisiae),0,0,-1,0,0,0,-1,0
tRNA isopentenyltransferase 1,0,0,0,0,0,0,-1,0
cyclin-dependent kinase 11A,0,0,0,0,1,0,-1,0
"Fanconi anemia, complementation group F",1,1,1,0,0,0,-1,0
RNA (guanine-7-) methyltransferase,-1,0,0,0,0,0,-1,0
"ciliary rootlet coiled-coil, rootletin pseudogene 2",-1,-1,-1,1,-1,0,-1,0
LTV1 ribosome biogenesis factor,0,-1,0,0,0,0,-1,0
forkhead box L1,0,0,1,0,1,0,-1,0
methyltransferase like 2A,0,0,0,0,0,0,-1,0
insulin-like growth factor binding protein 3,1,1,-1,-1,1,0,-1,0
chromosome 1 open reading frame 35,0,0,0,0,0,0,-1,0
non-SMC element 1 homolog (S. cerevisiae),0,-1,0,-1,0,0,-1,0
chromosome 12 open reading frame 4,0,1,0,0,0,0,-1,0
serine/threonine kinase 11,0,0,0,0,0,0,-1,0
nudix (nucleoside diphosphate linked moiety X)-type motif 2,1,-1,-1,-1,0,0,-1,0
DEAH (Asp-Glu-Ala-His) box polypeptide 38,0,-1,0,0,0,0,-1,0
uncharacterized LOC100507420,1,0,0,0,1,0,-1,0
translocase of outer mitochondrial membrane 22 homolog (yeast),0,-1,0,-1,1,0,-1,0
BUB3 mitotic checkpoint protein,0,0,0,0,0,0,-1,0
ADP-ribosylation factor-like 8A,0,0,0,0,0,0,-1,0
long intergenic non-protein coding RNA 999,0,-1,-1,-1,0,0,-1,0
TCDD-inducible poly(ADP-ribose) polymerase,0,-1,0,-1,-1,0,-1,0
"enolase 2 (gamma, neuronal)",0,1,-1,1,-1,0,-1,0
"zinc finger, SWIM-type containing 6",-1,0,0,0,1,0,-1,0
"ring finger protein, LIM domain interacting",0,0,-1,0,0,0,-1,0
ubiquitin-like modifier activating enzyme 1,0,0,0,0,1,0,-1,0
SMG1 phosphatidylinositol 3-kinase-related kinase,-1,0,0,1,-1,0,-1,0
kelch-like ECH-associated protein 1,0,0,0,0,1,0,-1,0
"family with sequence similarity 103, member A1",0,0,0,0,0,0,-1,0
fatty acid binding protein 5 (psoriasis-associated),0,0,1,1,0,0,-1,0
translocase of inner mitochondrial membrane 10 homolog (yeast),0,0,0,1,1,0,-1,0
WD repeat domain 74,1,0,0,0,1,0,-1,0
ZFP91 zinc finger protein,-1,0,0,0,0,0,-1,0
